,姓名,生日,英文名字,aka,性別,職業,婚姻狀態
0,陳詩欣,1978-11-16,Chen Shih-Hsin,None,,運動員,
1,楊淑君,1985-10-26,None,None,,運動員,
2,朱木炎,1982-03-14,Chu Mu-Yen,None,,運動員,
3,黃顯詠,1993-12-12,None,None,,運動員,
4,黃志雄,1976-10-16,None,None,,運動員,
5,紀淑如,1982-11-27,Chi Shu-ju,None,,運動員,
6,蘇麗文,1980-12-13,Winner ,蘇府3千歲,,運動員,
7,林安妮,None,None,None,,運動員,
8,曾憶萱,None,None,None,,運動員,
9,陳怡安,1973-02-07,Chen Yi-An,None,,運動員,
10,宋玉麒,1982-01-16,None,黑麒,,運動員,
11,洪佳君,1977-06-28,None,None,,運動員,
12,曾櫟騁,1986-12-26,None,None,,運動員,
13,羅嘉翎,2001-10-08,Lo Chia-Ling,國民女友、+0、跆拳道甜心,,運動員,
14,周宜辰,1984-07-09,None,None,,運動員,
15,黃士峰,1992-03-02,Huang Shih-Feng,None,,運動員,
16,鄭兆村,1993-10-17,Cheng Chao-Tsun,None,,運動員,
17,張銘煌,1982-08-07,Chang Ming-Huang,None,,運動員,
18,林家瑩,1982-11-05,Lin Chia-Ying,None,,運動員,
19,李采懌,1989-12-03,Li Wen-Hua,None,,運動員,
20,乃慧芳,1969-02-26,Nai Hui-Fang,None,,運動員,
21,林鴻敏,1990-09-07,Lin Hung-Min,None,,運動員,
22,王惠珍,1970-02-21,Wang Huei-Chen,None,,運動員,
23,陳天文,1978-06-01,Chen Tien-Wen,None,,運動員,
24,楊俊瀚,1997-01-01,Yang Chun-Han,None,,運動員,
25,陳家薰,1991-10-15,Chen Chia-Hsun,None,,運動員,
26,王偉旭,1996-10-12,Wang Wei-Hsu,None,,運動員,
27,楊隆翔,1996-09-13,Yang Lung-Hsiang,None,,運動員,
28, 鄭博宇,1997-04-27,Cheng Po-Yu,None,,運動員,
29,葉守博,1999-03-03,Yeh Shou-Po,None,,運動員,
30,魏溢慶,1998-07-05,Wei Yi-Ching,None,,運動員,
31,魏泰陞,2000-08-20,Wei Tai-Sheng,None,,運動員,
32,廖靜賢,1994-06-22,Liao Ching-Hsien,None,,運動員,
33,邱建興,1964-05-28,None,None,,運動員,
